Trap_name,Lat,Long,Area,DATE_SET_UP,DATE_COLLECTED,Days_Trapping,Trap_Recoverd,Males_Ae_aegypti,Females_Ae_aegypti,Male_Culex,Female_Culex,Culex,Trap_Type,Male_Unmarked,Female_Unmarked,Male_M_1,Female_M_1,Male_M_2,Female_M_2,Male_M_3,Female_M_3,Male_M_4,Female_M_4
D1RF1,-40.479686,-9.450051,B/A,NA,5/24/11,,1,2,1,,,0,Aspiration,2,1,0,0,,,,,,
D1RF2,-40.480167,-9.450524,B/A,NA,5/24/11,,1,2,5,,,0,Aspiration,2,5,0,0,,,,,,
D1RF3,-40.479557,-9.450766,B/A,NA,5/24/11,,1,7,9,,,0,Aspiration,6,9,1,0,,,,,,
D1RF4,-40.479042,-9.451274,B/A,NA,5/24/11,,1,1,0,,,0,Aspiration,1,0,0,0,,,,,,
D1RF5,-40.479728,-9.451584,B/A,NA,5/24/11,,1,18,4,,,0,Aspiration,9,4,9,0,,,,,,
D1RF6,-40.480548,-9.451211,B/A,NA,5/24/11,,1,2,0,,,0,Aspiration,2,0,0,0,,,,,,
D1RF7,-40.480895,-9.451593,B/A,NA,5/24/11,,1,1,1,,,0,Aspiration,1,1,0,0,,,,,,
D1RF8,-40.481227,-9.451882,B/A,NA,5/24/11,,1,1,1,,,0,Aspiration,1,1,0,0,,,,,,
D1RF9,-40.481456,-9.453038,B/A,NA,5/24/11,,1,6,1,,,0,Aspiration,3,1,3,0,,,,,,
D1RF10,-40.480598,-9.452118,B/A,NA,5/24/11,,1,1,0,,,0,Aspiration,0,0,1,0,,,,,,
D1RF11,-40.481063,-9.452985,B/A,NA,5/24/11,,1,5,0,,,0,Aspiration,2,0,3,0,,,,,,
D1RF12,-40.480487,-9.452911,B/A,NA,5/24/11,,1,12,0,,,0,Aspiration,3,0,9,0,,,,,,
D1RF13,-40.480209,-9.452495,B/A,NA,5/24/11,,1,13,2,,,0,Aspiration,3,2,10,0,,,,,,
D1RF14,-40.479225,-9.453257,B/A,NA,5/24/11,,1,20,0,,,0,Aspiration,2,0,18,0,,,,,,
D1RF15,-40.479358,-9.452776,B/A,NA,5/24/11,,1,15,4,,,0,Aspiration,15,4,0,0,,,,,,
D1RF16,-40.478843,-9.453913,B/A,NA,5/24/11,,1,3,1,,,0,Aspiration,2,1,1,0,,,,,,
D1RF17,-40.478473,-9.453742,B/A,NA,5/24/11,,1,0,0,,,0,Aspiration,0,0,0,0,,,,,,
D1RF18,-40.477947,-9.454019,B/A,NA,5/24/11,,1,2,3,,,0,Aspiration,2,3,0,0,,,,,,
D1RF19,-40.477611,-9.453864,B/A,NA,5/24/11,,1,1,2,,,0,Aspiration,1,2,0,0,,,,,,
D1RF20,-40.47929,-9.452482,B/A,NA,5/24/11,,1,5,2,,,0,Aspiration,0,2,5,0,,,,,,
D1RF21,-40.483634,-9.445803,U,NA,5/24/11,,1,0,1,,,0,Aspiration,0,1,0,0,,,,,,
D1RF22,-40.482616,-9.446391,U,NA,5/24/11,,1,0,3,,,0,Aspiration,0,3,0,0,,,,,,
D1RF23,-40.483905,-9.447309,U,NA,5/24/11,,1,0,0,,,0,Aspiration,0,0,0,0,,,,,,
D1RF24,-40.482479,-9.445697,U,NA,5/24/11,,1,3,2,,,0,Aspiration,3,2,0,0,,,,,,
D1RF25,-40.484066,-9.444703,U,NA,5/24/11,,1,0,2,,,0,Aspiration,0,2,0,0,,,,,,
D2RF1,-40.479396,-9.450536,B/A,NA,5/25/11,,1,10,2,,,0,Aspiration,1,2,9,0,,,,,,
D2RF2,-40.47998,-9.450363,B/A,NA,5/25/11,,1,7,4,,,0,Aspiration,7,4,0,0,,,,,,
D2RF3,-40.479701,-9.451365,B/A,NA,5/25/11,,1,1,1,,,0,Aspiration,1,1,0,0,,,,,,
