OVITRAP,GPS,LAT,LONG,AREA (3 areas for main text),AREA (4 areas for SI),INSIDE_OUTSIDE,DATE_SET_UP,DATE_COLLECTED,NUM_EGGS/TRAP,NUM_LARVAE,NUM_OX513A LARVAE,RECOVERED,EGG_POSITIVE,LARVAE_POSITIVE,OX513A_POSITIVE,ADULT_FEMALE_AEGYPTI,ADULT_MALE_AEGYPTI,ADULT_A_ALBOPICTUS
1,1,-9.451444,-40.481688,U,C,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
3,3,-9.452153,-40.480554,B,B,,7/15/10,7/22/10,2,2,,1,1,1,0,1,1,0
4,4,-9.452082,-40.481252,B,B,,7/15/10,7/22/10,28,18,,1,1,1,0,8,9,0
5,5,-9.452949,-40.481102,B,B,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
6,6,-9.452154,-40.480424,B,B,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
7,7,-9.452393,-40.480006,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
9,9,-9.4536,-40.478975,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,7/15/10,7/22/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,7/15/10,7/22/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
16,16,-9.450012,-40.479963,U,C,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,7/15/10,7/22/10,7,6,,1,1,1,0,3,2,0
18,18,-9.448047,-40.481087,U,D,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
19,19,-9.446134,-40.483012,U,D,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,7/15/10,7/22/10,0,0,,1,0,0,0,0,0,0
