DATE,RELEASE_B,RELEASE_A,RELEASE_C,
5/2/11,,,,
5/3/11,,,,
5/4/11,,,,
5/5/11,,,,
5/6/11,,,,
5/7/11,4513,4513,0,
5/8/11,,,,
5/9/11,5690,5690,0,
5/10/11,,,,
5/11/11,5222,5222,0,
5/12/11,,,,
5/13/11,4447,4447,0,
5/14/11,,,,
5/15/11,5297,5297,0,
5/16/11,,,,
5/17/11,7639,7639,0,
5/18/11,,,,
5/19/11,5425,5425,0,
5/20/11,,,,
5/21/11,5981,5981,0,
5/22/11,,,,
5/23/11,5254,5254,0,
5/24/11,,,,
5/25/11,,,,
5/26/11,4894,4894,0,
5/27/11,,,,
5/28/11,5285,5285,0,
5/29/11,,,,
5/30/11,5098,5098,0,
5/31/11,,,,
6/1/11,,,,
6/2/11,4714,4714,0,
6/3/11,,,,
6/4/11,5288,5288,0,
6/5/11,,,,
6/6/11,4007,4007,0,
6/7/11,,,,
6/8/11,,,,
6/9/11,1645,1645,0,
6/10/11,,,,
6/11/11,5678,5678,0,
6/12/11,,,,
6/13/11,6235,6235,0,
6/14/11,,,,
6/15/11,0,0,0,
6/16/11,,,,
6/17/11,,,,
6/18/11,,,,
6/19/11,,,,
6/20/11,,,,
6/21/11,,,,
6/22/11,,,,
6/23/11,,,,
6/24/11,,,,
6/25/11,,,,
6/26/11,,,,
6/27/11,,,,
6/28/11,,,,
6/29/11,,,,
6/30/11,,,,
7/1/11,32915,32915,0,
7/2/11,,,,
7/3/11,,,,
7/4/11,40541,40541,0,
7/5/11,,,,
7/6/11,,,,
7/7/11,35813,35813,0,
7/8/11,,,,
7/9/11,28861,28861,0,
7/10/11,,,,
7/11/11,33603,33603,0,
7/12/11,,,,
7/13/11,,,,
7/14/11,29108,29108,0,
7/15/11,,,,
7/16/11,34143,34143,0,
7/17/11,,,,
7/18/11,46730,46730,0,
7/19/11,,,,
7/20/11,,,,
7/21/11,39195,39195,0,
7/22/11,,,,
7/23/11,37113,37113,0,
7/24/11,,,,
7/25/11,37199,37199,0,
7/26/11,,,,
7/27/11,,,,
7/28/11,34831,34831,0,
7/29/11,,,,
7/30/11,36149,36149,0,
7/31/11,,,,
8/1/11,19608,19608,0,
8/2/11,,,,
