Date,Area A,Area B,Area C,
08/05/2011,0.8205,0.8205,,
09/05/2011,,,,
10/05/2011,,,,
11/05/2011,,,,
12/05/2011,,,,
13/05/2011,,,,
14/05/2011,,,,
15/05/2011,3.75547727272727,3.75547727272727,,
16/05/2011,,,,
17/05/2011,,,,
18/05/2011,,,,
19/05/2011,,,,
20/05/2011,,,,
21/05/2011,,,,
22/05/2011,3.46269913419913,3.46269913419913,,
23/05/2011,,,,
24/05/2011,,,,
25/05/2011,,,,
26/05/2011,,,,
27/05/2011,,,,
28/05/2011,,,,
29/05/2011,2.80607575757576,2.80607575757576,,
30/05/2011,,,,
31/05/2011,,,,
01/06/2011,,,,
02/06/2011,,,,
03/06/2011,,,,
04/06/2011,,,,
05/06/2011,2.74533333333333,2.74533333333333,,
06/06/2011,,,,
07/06/2011,,,,
08/06/2011,,,,
09/06/2011,,,,
10/06/2011,,,,
11/06/2011,,,,
12/06/2011,2.05987121212121,2.05987121212121,,
13/06/2011,,,,
14/06/2011,,,,
15/06/2011,,,,
16/06/2011,,,,
17/06/2011,,,,
18/06/2011,,,,
19/06/2011,1.13366666666667,1.13366666666667,,
20/06/2011,,,,
21/06/2011,,,,
22/06/2011,,,,
23/06/2011,,,,
24/06/2011,,,,
25/06/2011,,,,
26/06/2011,0,0,,
27/06/2011,,,,
28/06/2011,,,,
29/06/2011,,,,
30/06/2011,,,,
01/07/2011,,,,
02/07/2011,,,,
03/07/2011,5.98461742424243,5.98461742424243,,
04/07/2011,,,,
05/07/2011,,,,
06/07/2011,,,,
07/07/2011,,,,
08/07/2011,,,,
09/07/2011,,,,
10/07/2011,19.1297424242424,19.1297424242424,,
11/07/2011,,,,
12/07/2011,,,,
13/07/2011,,,,
14/07/2011,,,,
15/07/2011,,,,
16/07/2011,,,,
17/07/2011,17.6095454545455,17.6095454545455,,
18/07/2011,,,,
19/07/2011,,,,
20/07/2011,,,,
21/07/2011,,,,
22/07/2011,,,,
23/07/2011,,,,
24/07/2011,22.370446969697,22.370446969697,,
25/07/2011,,,,
26/07/2011,,,,
27/07/2011,,,,
28/07/2011,,,,
29/07/2011,,,,
30/07/2011,,,,
31/07/2011,19.6689015151515,19.6689015151515,,
01/08/2011,,,,
02/08/2011,,,,
03/08/2011,,,,
04/08/2011,,,,
05/08/2011,,,,
06/08/2011,,,,
07/08/2011,18.4259772727273,18.4259772727273,,
08/08/2011,,,,
09/08/2011,,,,
10/08/2011,,,,
11/08/2011,,,,
12/08/2011,,,,
13/08/2011,,,,
14/08/2011,8.86905303030303,8.86905303030303,,
15/08/2011,,,,
16/08/2011,,,,
17/08/2011,,,,
18/08/2011,,,,
19/08/2011,,,,
20/08/2011,,,,
21/08/2011,9.7222196969697,9.7222196969697,,
22/08/2011,,,,
23/08/2011,,,,
24/08/2011,,,,
25/08/2011,,,,
26/08/2011,,,,
27/08/2011,,,,
28/08/2011,4.51993181818182,4.51993181818182,,
29/08/2011,,,,
30/08/2011,,,,
31/08/2011,,,,
01/09/2011,,,,
02/09/2011,,,,
03/09/2011,,,,
